stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\C(++) Projects\_C++\Game Engine\MakaiLib\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.00884] added dtor for sub_bitmap 0000000000e32d50, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00888] added dtor for sub_bitmap 0000000000e32110, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00892] added dtor for sub_bitmap 0000000000e32490, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00903] added dtor for sub_bitmap 0000000000e314d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00908] added dtor for sub_bitmap 0000000000e31d90, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00910] added dtor for sub_bitmap 0000000000e31690, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00913] added dtor for sub_bitmap 0000000000e32b90, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00918] added dtor for sub_bitmap 0000000000e30f90, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00920] added dtor for sub_bitmap 0000000000e322d0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00922] added dtor for sub_bitmap 0000000000e32650, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00925] added dtor for sub_bitmap 0000000000e31150, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00939] added dtor for sub_bitmap 0000000000e31310, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00941] added dtor for sub_bitmap 0000000000e31850, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00943] added dtor for sub_bitmap 0000000000e31a10, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00945] added dtor for sub_bitmap 0000000000e31bd0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00953] added dtor for sub_bitmap 0000000000e354f0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00957] added dtor for sub_bitmap 0000000000e34df0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00959] added dtor for sub_bitmap 0000000000e35170, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00962] added dtor for sub_bitmap 0000000000e34fb0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00967] added dtor for sub_bitmap 0000000000e346f0, func 00007ffd74781bf8
dtor     D               dtor.c:196  _al_register_destructor          [   0.00969] added dtor for sub_bitmap 0000000000e348b0, func 00007ffd74781bf8
